gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1981405591	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:989120	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2018-01-01T00:00:00Z			2018	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	989120	Ring number E12544	Particular web-Oficina de Especies Migratorias		CC_BY_4_0					2019-01-08T11:52:20.825Z		GEODETIC_DATUM_ASSUMED_WGS84
1981404242	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:986467	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	986467	Ring number E14186	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:20.255Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402924	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:985074	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	985074	Ring number E14199	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.666Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402839	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984930	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984930	Ring number E14402	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.686Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402746	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984929	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984929	Ring number E14405	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.613Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402433	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984480	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984480	Ring number E14173	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.464Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402410	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984232	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984232	Ring number E14196	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.412Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402393	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984701	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984701	Ring number E14194	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.469Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402382	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984481	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984481	Ring number E14180	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.499Z		GEODETIC_DATUM_ASSUMED_WGS84
1981402371	52f2051b-c47e-403a-8e32-04b2f2273c20	ESA:AranzadiRings:984579	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita		SPECIES	Geronticus eremita (Linnaeus, 1758)	ES		823818f6-0696-4e29-bc4c-b6f3817535a7	36.27	-5.93							2017-01-01T00:00:00Z			2017	2480770	2480770	HUMAN_OBSERVATION	ESA	AranzadiRings	984579	Ring number E14190	Estacion Biologica de Doñana-S.C. Aranzadi		CC_BY_4_0					2019-01-08T11:52:19.418Z		GEODETIC_DATUM_ASSUMED_WGS84
